X,Y,ADJG,B_ERR,BOUGUER,COORD_ERR,DAY,DEPTH,DEPTH_ERR,DEPTH_TYPE,ELEV,ELEV_ERR,FA_ERR,FREEAIR,G_ERR,PROJ,STATUS,STN,STN_TYPE,TC,TC_ERR,TIME
-112.687683,56.728434,981497.6,1.11,-62.67,100,20-Jul-67,0,0,1,471.83,3,1.05,-9.85,0.5,1967006,1,14467,1,0,0,1745
-112.490999,56.768434,981503.7,1.11,-58.23,100,20-Jul-67,0,0,1,480.36,3,1.05,-4.45,0.5,1967006,1,14468,1,0,0,1758
-113.321056,56.788425,981499.7,1.11,-61.07,100,20-Jul-67,0,0,1,494.69,3,1.05,-5.69,0.5,1967006,1,14487,1,0,0,2205
-113.561072,56.850091,981503.4,1.11,-55.91,100,20-Jul-67,0,0,1,528.22,3,1.05,3.23,0.5,1967006,1,14488,1,0,0,2219
-113.739425,56.858423,981510.8,1.11,-58.3,100,20-Jul-67,0,0,1,481.89,3,1.05,-4.35,0.5,1967006,1,14489,1,0,0,2228
-113.469396,56.940093,981509.9,1.11,-56.52,100,22-Jul-67,0,0,1,530.05,3,1.05,2.82,0.5,1967006,1,14492,1,0,0,1546
-112.932698,56.941762,981501.8,1.11,-65.89,100,22-Jul-67,0,0,1,524.26,3,1.05,-7.2,0.5,1967006,1,14494,1,0,0,1614
-112.742688,56.900098,981502,1.11,-65.47,100,22-Jul-67,0,0,1,507.8,3,1.05,-8.62,0.5,1967006,1,14495,1,0,0,1623
-115.25455,57.141762,981514.7,1.11,-77.21,100,02-Jul-67,0,0,1,485.24,3,1.05,-22.89,0.5,1967006,1,10256,1,0,0,1949
-115.122867,57.028426,981508.1,1.11,-84.08,100,02-Jul-67,0,0,1,436.17,3,1.05,-35.25,0.5,1967006,1,10257,1,0,0,2001
-115.006182,56.98343,981484.3,1.11,-92.77,100,02-Jul-67,0,0,1,494.08,3,1.05,-37.46,0.5,1967006,1,10258,1,0,0,2011
-114.066115,57.121763,981475.1,1.11,-71.99,100,19-Jul-67,0,0,1,705,3,1.05,6.93,0.5,1967006,1,10441,1,0,0,1530
-113.904439,57.161765,981496,1.11,-66.13,100,19-Jul-67,0,0,1,645.26,3,1.05,6.1,0.5,1967006,1,10442,1,0,0,1541
-114.269464,57.100097,981481.4,1.11,-76.47,100,19-Jul-67,0,0,1,640.99,3,1.05,-4.72,0.5,1967006,1,10469,1,0,0,2205
-114.331134,56.951761,981511.7,1.11,-68.86,100,20-Jul-67,0,0,1,462.99,3,1.05,-17.03,0.5,1967006,1,10495,1,0,0,2221
-115.029532,57.105092,981515,1.11,-89.63,100,02-Jul-67,0,0,1,405.08,3,1.05,-44.28,0.5,1967006,1,12257,1,0,0,1929
