Bot-Hole Latitude (NAD27),Bot-Hole Longitude (NAD27),Bot-Hole Easting (NAD27),Bot-Hole Northing (NAD27),Well Unique Identifier
55.78012,-117.06905,495668.6,6181395.3,240
55.78558,-117.00102,499936.3,6182001.9,241
55.79063,-117.03622,497728.4,6182564.5,242
55.78774,-117.06726,495781.8,6182244.4,243
55.78784,-117.06764,495757.9,6182255.5,244
55.78613,-117.08136,494897.3,6182065,245
55.78613,-117.08136,494897.3,6182065,246
55.72818,-117.24687,484494.9,6175640.5,247
55.73901,-117.24647,484524.3,6176845.7,248
55.73901,-117.24647,484524.3,6176845.7,249
55.73901,-117.24647,484524.3,6176845.7,250
55.74143,-117.14921,490631.5,6177097.4,251
55.74143,-117.14921,490631.5,6177097.4,252
55.74143,-117.14921,490631.5,6177097.4,253
55.75939,-117.11185,492980.4,6179091.8,254
55.78103,-117.10481,493425.9,6181499.4,255
55.78103,-117.10481,493425.9,6181499.4,256
55.8065,-117.17353,489123,6184342.8,257
55.73166,-117.26697,483234.1,6176032.5,258
55.73166,-117.26697,483234.1,6176032.5,259
55.75711,-117.27117,482981.4,6178865.9,260
55.75556,-117.47827,469982.6,6178764,261
55.75556,-117.4964,468844.7,6178772,262
55.77763,-117.53526,466424.3,6181246.5,263
55.76355,-118.61645,398572,6180732.8,264
55.76355,-118.61645,398572,6180732.8,265
55.78139,-118.5772,401079.7,6182660.8,266
55.76183,-118.84464,384250.2,6180898.3,267
55.76183,-118.84464,384250.2,6180898.3,268
55.82132,-116.49,531954.9,6186096.9,269
55.82663,-116.4905,531919.3,6186687.6,270
55.83338,-116.50304,531128.3,6187433.1,271
55.83968,-116.49283,531762.7,6188138.9,272
55.83968,-116.49283,531762.7,6188138.9,273
55.8384,-116.48139,532480.2,6188001.7,274
55.83165,-116.45598,534078,6187262.6,275
55.83569,-116.45354,534227.3,6187713.4,276
55.83586,-116.46718,533372.3,6187725.7,277
55.82916,-116.45173,534346.4,6186987.6,278
55.83028,-116.45179,534341.6,6187112.2,279
